route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
91 Line,1150,296000081,Perris - South,700,0
91 Line,1150,295900043,L.A. Union Station,701,1
91 Line,1150,295900046,L.A. Union Station,703,1
91 Line,1150,295900055,L.A. Union Station,705,1
91 Line,1150,295900061,L.A. Union Station,707,1
91 Line,1150,296000105,Perris - South,740,0
91 Line,1150,200090709,L.A. Union Station,713,1
91 Line,1150,294100713,L.A. Union Station,719,1
91 Line,1150,200090702,Riverside - Downtown,720,0
91 Line,1150,296000091,Perris - South,732,0
91 Line,1150,296000097,Perris - South,736,0
91 Line,1150,296000100,Perris - South,708,0
Antelope Valley Line,1142,200090205,Vista Canyon,201,0
Antelope Valley Line,1142,200000230,L.A. Union Station,232,1
Antelope Valley Line,1142,294300162,L.A. Union Station,202,1
Antelope Valley Line,1142,294400173,Vista Canyon,203,0
Antelope Valley Line,1142,294300163,L.A. Union Station,204,1
Antelope Valley Line,1142,200090206,L.A. Union Station,206,1
Antelope Valley Line,1142,200000229,Lancaster,207,0
Antelope Valley Line,1142,294300165,L.A. Union Station,208,1
Antelope Valley Line,1142,294400182,Vista Canyon,209,0
Antelope Valley Line,1142,294300211,Lancaster,211,0
Antelope Valley Line,1142,294300167,L.A. Union Station,214,1
Antelope Valley Line,1142,294300215,Lancaster,215,0
Antelope Valley Line,1142,294300216,L.A. Union Station,216,1
Antelope Valley Line,1142,294300217,Vista Canyon,217,0
Antelope Valley Line,1142,200090219,Lancaster,219,0
Antelope Valley Line,1142,294300220,L.A. Union Station,220,1
Antelope Valley Line,1142,200000221,Lancaster,221,0
Antelope Valley Line,1142,200000222,L.A. Union Station,222,1
Antelope Valley Line,1142,294400189,Lancaster,223,0
Antelope Valley Line,1142,200090224,L.A. Union Station,224,1
Antelope Valley Line,1142,200090225,Lancaster,225,0
Antelope Valley Line,1142,200000026,Lancaster,227,0
Antelope Valley Line,1142,294300226,L.A. Union Station,228,1
Antelope Valley Line,1142,294300238,L.A. Union Station,200,1
Inland Emp.-Orange Co. Line,1153,296800442,Riverside - Downtown,800,1
Inland Emp.-Orange Co. Line,1153,296500087,Laguna Niguel / Mission Viejo,801,0
Inland Emp.-Orange Co. Line,1153,294100827,Laguna Niguel / Mission Viejo,827,0
Inland Emp.-Orange Co. Line,1153,294100826,San Bernardino - Downtown,826,1
Inland Emp.-Orange Co. Line,1153,294100824,San Bernardino - Downtown,824,1
Inland Emp.-Orange Co. Line,1153,296500082,Laguna Niguel / Mission Viejo,803,0
Inland Emp.-Orange Co. Line,1153,296600054,Riverside - Downtown,804,1
Inland Emp.-Orange Co. Line,1153,296500084,Laguna Niguel / Mission Viejo,805,0
Inland Emp.-Orange Co. Line,1153,296500085,Laguna Niguel / Mission Viejo,807,0
Inland Emp.-Orange Co. Line,1153,296600060,Riverside - Downtown,808,1
Inland Emp.-Orange Co. Line,1153,200000030,Laguna Niguel / Mission Viejo,815,0
Inland Emp.-Orange Co. Line,1153,296600058,Riverside - Downtown,816,1
Inland Emp.-Orange Co. Line,1153,200000817,Laguna Niguel / Mission Viejo,819,0
Inland Emp.-Orange Co. Line,1153,296600062,San Bernardino - Downtown,820,1
Inland Emp.-Orange Co. Line,1153,200000029,San Bernardino - Downtown,822,1
Inland Emp.-Orange Co. Line,1153,294100823,Laguna Niguel / Mission Viejo,823,0
Orange County Line,1151,296100042,L.A. Union Station,601,1
Orange County Line,1151,296200094,Laguna Niguel / Mission Viejo,602,0
Orange County Line,1151,296200629,L.A. Union Station,629,1
Orange County Line,1151,296200627,L.A. Union Station,627,1
Orange County Line,1151,296200626,Oceanside,626,0
Orange County Line,1151,296200625,L.A. Union Station,625,1
Orange County Line,1151,296200624,Oceanside,624,0
Orange County Line,1151,296200099,Laguna Niguel / Mission Viejo,622,0
Orange County Line,1151,296100049,L.A. Union Station,621,1
Orange County Line,1151,296200096,Laguna Niguel / Mission Viejo,620,0
Orange County Line,1151,296200093,Laguna Niguel / Mission Viejo,618,0
Orange County Line,1151,296100047,L.A. Union Station,617,1
Orange County Line,1151,296200088,Laguna Niguel / Mission Viejo,616,0
Orange County Line,1151,200090682,Laguna Niguel / Mission Viejo,612,0
Orange County Line,1151,296100041,L.A. Union Station,611,1
Orange County Line,1151,296100057,L.A. Union Station,609,1
