family,variable,forced_value,status,fleet_size,chained,objective,min_fleet_reachable,objective_reachable,solved
chaining,"(107, (296000081, 200090224))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200090224))",1,Optimal,32,100,85.65596666666669,False,False,True
chaining,"(107, (296000081, 200090225))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200090225))",1,Optimal,31,101,87.39065000000002,True,False,True
chaining,"(107, (296000081, 200000026))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200000026))",1,Optimal,32,100,86.39065000000001,False,False,True
chaining,"(107, (296000081, 294300226))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294300226))",1,Optimal,32,100,85.6559666666667,False,False,True
chaining,"(107, (296000081, 200090219))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200090219))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 200000221))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200000221))",1,Optimal,31,101,87.39065000000002,True,False,True
chaining,"(107, (296000081, 200000222))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200000222))",1,Optimal,31,101,86.9903,True,False,True
chaining,"(107, (296000081, 294400189))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294400189))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 296000105))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 296000105))",1,Optimal,31,101,87.39065000000002,True,False,True
chaining,"(107, (296000081, 200090709))",0,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (296000081, 200090709))",1,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100713))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100713))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 296000091))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 296000091))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294100827))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100827))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294100826))",0,Optimal,31,101,87.63148333333335,True,True,False
