family,variable,forced_value,status,fleet_size,chained,objective,min_fleet_reachable,objective_reachable,solved
chaining,"(296000081, 200090709)",0,Optimal,36,96,96,False,False,True
chaining,"(296000081, 200090709)",1,Optimal,35,97,97,True,True,False
chaining,"(296000081, 294100713)",0,Optimal,35,97,97,True,True,False
chaining,"(296000081, 294100713)",1,Optimal,36,96,96,False,False,True
chaining,"(295900043, 296000081)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296000081)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296000105)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296000105)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200090702)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200090702)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296000091)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296000091)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296000097)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296000097)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296000100)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296000100)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294400173)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294400173)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200000229)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200000229)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294400182)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294400182)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294300211)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294300211)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294300215)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294300215)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294300217)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294300217)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200090219)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200090219)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200000221)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200000221)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 294400189)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 294400189)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200090225)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200090225)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200000026)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200000026)",1,Optimal,36,96,96,False,False,True
chaining,"(295900043, 296200626)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296200626)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296200624)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296200624)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296200099)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296200099)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296200096)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296200096)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296200093)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296200093)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296200088)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296200088)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 200090682)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200090682)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296200102)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 296200102)",1,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296200101)",0,Optimal,35,97,97,True,True,True
chaining,"(295900043, 296200101)",1,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200090402)",0,Optimal,35,97,97,True,True,False
chaining,"(295900043, 200090402)",1,Optimal,35,97,97,True,True,True
